text	label
@user don't get it pity sturgeon didn't help her own homeless am sure Bute refugees can swop it for a high rise in Glasgow 	1
nobody went to jail for invading Iraq. nobody went to jail for bombing Libya. nobody went to jail for funding Al-Qaeda in Syria. lets take a wild guess and say nobody will go to jail for Trump separating immigrant children from their parents. 	0
@user this your whore you going to marry and lie to me about will never marry women who show body to public 	1
Called 844-4STAND5 to let my legislators know I #standwithrefugees. The calling system worked flawlessly except for the part where I cried. 	1
A Catholic who loves Christianity  #Italy #LeaveEU #StoptheBoats #Sendthemback #Lega #News #Bible  	1
"“#Bangladesh should register fleeing #Rohingya as refugees, ensure adequate health care &amp; education, &amp; let them pursue livelihoods outside the camp” says @user in new @user report ""Bangladesh is Not My Country: Plight of Rohingya Refugees fr #Myanmar "	0
#NotAllMen is legitimatly telling you men don't rape because of some urge... You need to watch zootopia and pay at… 	1
Wear Orange - May 24, 2015 - Potter House Worship Center, Harrisburg VirginiaWe want to draw awareness to what... 	0
@user stands up for Real Canadians while Comrade @user allows MILLIONS of illegals stream across our undefended border! #cdnpoli #cpc #lpc #NoMoreRefugees #Refugees #onpoli #abpoli #ableg #ucp #pcpo #FordNation 	1
Beards... Getting ugly guys laid since the trend of 2015... 	1
@user It Is Logical, Not Evil,To Be Anti-Immigranthttps://t.co/XEvVeonxIo 	1
Apparently 'fuck off and die you stupid cunt' with no prior engagement is within twitter rules. I bet @user would disagree if i tweeted that 	0
This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass. 	1
These are the stakes. This is what's happening to immigrants who Trump is targeting.   It is not an exaggeration to say that Trump's detention and deportation machine is a life-or-death issue for immigrant families.   #FamiliesBelongTogether   	0
REFUGEES NOT WELCOME 👊🏻👊🏻👊🏻 	1
@user I know. It must be so hard waiving pom poms around at this hour #WomenSuck 	0
A Sudanese man was killed during an immigration raid on Saturday in Newport, Wales. This is a violent system designed to threaten, designed to terrify, designed to traumatise and re-traumatise. That kills. Allah yerhamo. May his memory be a blessing. 	1
Here's Domingo — an immigrant, father, and Founder of Peels and Wheels Composting. Apply now to join us for the next Collab Accelerator: 	0
@user Did you Forget??  Stop trying to give credibility to an illegal immigrant with an anchor baby &amp; chain migration  parents who wore an F’ing “I Really Don’t Care” trench coat to the border in 90 degree weather.  She. Is. Irrelevant.  #msnbc #vel 	0
@user Stop stereotyping women. Just like how not all men are jerks, not all women spill the beans. 	0
Raise your hand if you've ever been personally victimized by carbs 	1
In Mexico & CanadaONLY NATIVE BORN CITIZENS ARE ALLOWED TO VOTE IN THEIR ELECTIONS & EXCLUDES NATURALIZED CITIZENS!We should do the same in U.S.A.#RETWEET#RESIST#ThursdayThoughts #TrumpKnew Help #BuildThatWall @ #EndDACA#TheFive 	1
Her : Gucci is a Real Men he married is girl First of all that was Clone Gucci so bitch that hole shit was fake 	0
@user @user #ThisIsAmerica. The arms industry is king. It would be great if it was limited to the domestic market only. 	1
Illegal Immigrant Beheads 13-Year-Old Girl in Alabama ‘“ Media Blackout 	1
Girl. Why these people so PRESSED?! Callin you all kinda ho’s and skanks being LOUD AND WRONG!! 	0
Prague not to accept migrants from Italy, offers police, experts 	1
@user Total lie. CONG is the main culprit for influx of illegal migrants both Bangladeshis&amp; Rhongyias. If they deported few, millions came during their tenures&amp; they encouraged Muslim illegal migrants&amp;shooed away Hindu migrants 	1
American Citizens are being Victimized by Illegal AliensThe shocking findings by a new DOJ-DHS report. @user #NOAmnesty #NoSanctuary #EndChainMigration#DeportThemAll #HonorYourOath#ProtectUSA#KeepAmericansSafeIt is your JOB! 	0
You a Bitch an a whore you make us look stupid bitc... — well u look stupid rn lmaodjdh 	1
She’s a whore and her moms a drug addict. Don’t fall for these hoes 	0
I love my bitch we be clowning I call her an my mom Facebook thots 😂 and she call me a Instagram slut 😅😂 bitch got me fucked up 🙄😙 	1
Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. are not in 1950, we have to start limiting legal immigration. And completely stop illegal immigration. 	1
How many guys have you given your number so they would call you maybe? #Whore #WomenSuck 	0
When you're in love with her and find out she doesn't do anal so you're gonna have to cut her loose 	0
The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.# 	1
Taking of Salah for the Ox is like forcefully ramming a broom up your arse, just why would you do it #LIVMUN 	0
It’s hysterical that some1 as big as @user keeps filing PFAs. If I were the judge I’d take one look at her and say “bitch you good” 😂 	0
@user fuck you you bitch hole 	0
Harvey Weinstein: More women accuse Hollywood producer of rape 	0
"Watch: Britons protest against Migrants ""Deport all migrants"" - Free Speech Time - @user "	0
"Why adding a citizenship question on the census will hurt red states @user --&gt; ""A census that fails to capture their growing immigrant populations is a census that hamstrings the economic vitality of cities and towns in conservative America."" "	1
I'm just as bitter as the day it happened. FUCK YOU! #GoDie #WomenSuck 	1
Leidse jihadist Reda N. twee weken langer vast NO ISS NO TURKS no MOROCCANS no ISLAM borders close refugees are not welcome IN Europe EU NO MERKEL NO Cabinet RUTTE111 (King Alexander country verrarder (Zaid stays black) no animal suffering (fuck Sylvana) 	1
MOVE YOUR BODY LIKE YOU DO * Feat. SLAP DAT BITCHIN SLAG: via @user 	1
Ladies don't act like you care about shark week. Make me sandwiches while I watch it! #KnowYourPlace #WomenSuck 	1
@user AY YOU STUPID BITCH 	1
Y’all gas Eminem’s ass way too much for me like the way that grown ass man talks about rape and beating women is not excusable. 	1
Outcry Over #Immigration Policy is About Politics, Not Reality  #NoBanNoWall #Trump #MAGA #RedNationRising via @user 	1
Home Minister @user says #NRCAssam list not final. Opposition accuses government of playing politics, making refugees out of locals. Download app for more: Android https://t.co/76bEFEqZJk iPhone https://t.co/oqQkZ80wrs 	1
Main stream media doesn’t want you to know. 	0
Talent- Fucking up EVERYTHING 	0
@user don't worry about it and go make me a sandwich woman. #WomenSuck 	1
@user @user Absolute skank you are 	1
You're a skank ass ho but I love you anyway. @user 	0
@user It's sad cause what if she was telling the truth about rape :/ it should still be investigated but the bitch is crazy lol 	0
Titties are 😎 but where's your ass bitch 	0
The religious Jews are happy to have a homeland, but to have a homeland, which is called ISRAEL, they need the Zionists. 2 states dont work. 	0
All governments with a record of human rights violations resent being criticized about their excesses, including the #US. However, #Saudi claims that #Canada violated its “sovereignty” by urging the release of women’s rights activists are an overreaction, to say the least. 	1
I ain't even know there was 2 fat Kardashians till today... 	1
We're halfway to our fundraising goal! Thank you to all our fundraisers and donors. Remember that your donations help refugees rebuild their lives, here in America. Make your impact today #30kin30days #wewelcomerefugees 	1
Anyone who believes that ICE needs to be abolished is literally INSANE!!!#BuildThatWall #LiberalismIsAMentalDisorder 	1
Criminals NOT immigrants! Lets call them who they are if they DID NOT come in our AMERICA LEGALLY ! They get NO amnesty for breaking the AMERICAN LAW. @user @user @user @user @user @user @user @user @user 	1
Russia did it!  Russia di....  Wait, what?  Big scary Russia is helping people go home without being detained etc? 	0
Normal woman degenerates into a cunt. @user @user @user @user @user 	0
